year,retro_id,lahman_id,bbr_id,city,team,name
1981,HOU,HOU,HOU,Houston,Astros,Houston Astros
1981,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1981,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1981,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1981,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1981,MON,MON,MON,Montreal,Expos,Montreal Expos
1981,NYA,NYA,NYY,New York,Yankees,New York Yankees
1981,NYN,NYN,NYM,New York,Mets,New York Mets
1981,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1981,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1981,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1981,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1981,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1981,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1981,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1981,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1981,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1982,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1982,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1982,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1982,CAL,CAL,CAL,California,Angels,California Angels
1982,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1982,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1982,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1982,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1982,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1982,HOU,HOU,HOU,Houston,Astros,Houston Astros
1982,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1982,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1982,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1982,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1982,MON,MON,MON,Montreal,Expos,Montreal Expos
1982,NYA,NYA,NYY,New York,Yankees,New York Yankees
1982,NYN,NYN,NYM,New York,Mets,New York Mets
1982,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1982,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1982,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1982,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1982,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1982,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1982,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1982,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1982,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1983,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1983,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1983,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1983,CAL,CAL,CAL,California,Angels,California Angels
1983,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1983,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1983,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1983,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1983,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1983,HOU,HOU,HOU,Houston,Astros,Houston Astros
1983,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1983,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1983,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1983,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1983,MON,MON,MON,Montreal,Expos,Montreal Expos
1983,NYA,NYA,NYY,New York,Yankees,New York Yankees
1983,NYN,NYN,NYM,New York,Mets,New York Mets
1983,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1983,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1983,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1983,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1983,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1983,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1983,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1983,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1983,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1984,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1984,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1984,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1984,CAL,CAL,CAL,California,Angels,California Angels
1984,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1984,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1984,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1984,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1984,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1984,HOU,HOU,HOU,Houston,Astros,Houston Astros
1984,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1984,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1984,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1984,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1984,MON,MON,MON,Montreal,Expos,Montreal Expos
1984,NYA,NYA,NYY,New York,Yankees,New York Yankees
1984,NYN,NYN,NYM,New York,Mets,New York Mets
1984,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1984,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1984,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1984,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1984,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1984,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1984,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1984,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1984,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1985,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1985,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1985,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1985,CAL,CAL,CAL,California,Angels,California Angels
