year,team,player
1964,PHI,WINEB101
1964,PHI,WISER101
1964,PIT,ALLEG101
1964,PIT,BAILB103
1964,PIT,BLASS101
1964,PIT,BORKF101
1964,PIT,BURGS101
1964,PIT,BUTTT101
1964,PIT,CARDD101
1964,PIT,CLEMR101
1964,PIT,CLEND101
1964,PIT,FACER101
1964,PIT,FRANE101
1964,PIT,FREEG102
1964,PIT,FRIEB102
1964,PIT,GELNJ101
1964,PIT,GIBBJ102
1964,PIT,GOTAJ101
1964,PIT,GREEF101
1964,PIT,JOHNR107
1964,PIT,LAW-V101
1964,PIT,LYNCJ102
1964,PIT,MAY-J101
1964,PIT,MAZEB101
1964,PIT,MCBEA101
1964,PIT,MCFAO101
1964,PIT,MOTAM101
1964,PIT,PAGLJ101
1964,PIT,PRIDB101
1964,PIT,SCHOD101
1964,PIT,SCHWD101
1964,PIT,SISKT101
1964,PIT,STARW101
1964,PIT,VEALB101
1964,PIT,VIRDB101
1964,PIT,WISSD101
1964,PIT,WOODW103
1964,SFN,ALOUJ101
1964,SFN,ALOUM101
1964,SFN,BOLIB101
1964,SFN,CARDJ101
1964,SFN,CEPEO101
1964,SFN,CRAND102
1964,SFN,DAVEJ101
1964,SFN,DUFFJ102
1964,SFN,ESTED102
1964,SFN,GARRG101
1964,SFN,HALLT102
1964,SFN,HARTJ102
1964,SFN,HENDB101
1964,SFN,HERBR102
1964,SFN,HILLC101
1964,SFN,HUNDR101
1964,SFN,KUENH101
1964,SFN,LANIH101
1964,SFN,LARSD102
1964,SFN,MACKK101
1964,SFN,MARIJ101
1964,SFN,MAYSW101
1964,SFN,MCCOW101
1964,SFN,MURAM101
1964,SFN,ODELB101
1964,SFN,PAGAJ101
1964,SFN,PERRG101
1964,SFN,PETEC101
1964,SFN,PIERB101
1964,SFN,PREGJ101
1964,SFN,SANFJ101
1964,SFN,SHAWB103
1964,SFN,SNIDD101
1964,SLN,BAKED103
1964,SLN,BOYEK101
1964,SLN,BROCL102
1964,SLN,BROGE101
1964,SLN,BUCHJ102
1964,SLN,BURDL101
1964,SLN,CLEMD101
1964,SLN,CRAIR101
1964,SLN,CUELM101
1964,SLN,DOWLD101
1964,SLN,FANOH101
1964,SLN,FLOOC101
1964,SLN,GAGLP101
1964,SLN,GIBSB101
1964,SLN,GROAD101
1964,SLN,HOBBG101
1964,SLN,HUMPB102
1964,SLN,JAMEC102
1964,SLN,JAVIJ101
1964,SLN,LEWIJ102
1964,SLN,LONGJ101
1964,SLN,MAXVD101
1964,SLN,MCCAT101
1964,SLN,MORGJ101
1964,SLN,RICHG101
1964,SLN,SADER101
1964,SLN,SCHUB101
1964,SLN,SHANB102
1964,SLN,SHANM101
1964,SLN,SIMMC101
1964,SLN,SKINB101
1964,SLN,SPIEE101
1964,SLN,SPRIJ102
1964,SLN,TAYLR101
1964,SLN,UECKB101
1964,SLN,WARWC101
1964,SLN,WASHR101
1964,SLN,WHITB105
1964,WS2,BLASD101
1964,WS2,BOULC101
1964,WS2,BRIDM101
1964,WS2,BRINE101
1964,WS2,BRONJ101
1964,WS2,BRUMM101
1964,WS2,CHENT101
1964,WS2,COTTC101
