player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
SIMPW101,Wayne Simpson,Wayne,Simpson,,Wayne Kirby,,
SIMSD101,Duke Sims,Duke,Sims,,Duane B.,,
SIMSG101,Greg Sims,Greg,Sims,,Gregory Emmett,,
SIMSL001,Lucas Sims,Lucas,Sims,,Lucas Sundberg,,
SINAM001,Matt Sinatro,Matt,Sinatro,,Matthew Stephen,,
SINCS001,Steve Sinclair,Steve,Sinclair,,Steven Scott,,
SINGB101,Bill Singer,Bill,Singer,,William Robert,Sing Sing; The Singer Throwing Machine,
SINGC001,Chris Singleton,Chris,Singleton,,Christopher Verdell,,
SINGD001,Duane Singleton,Duane,Singleton,,Duane Earl,,
SINGJ001,Jon Singleton,Jon,Singleton,,Jonathan Lee,,
SINGK001,Ken Singleton,Ken,Singleton,,Kenneth Wayne,,
SINKB001,Brett Sinkbeil,Brett,Sinkbeil,,Brett Allen,,
SIPIJ101,John Sipin,John,Sipin,,John White,,
SIPPT001,Tony Sipp,Tony,Sipp,,Tony Marcel,,
SIROM001,Mike Sirotka,Mike,Sirotka,,Michael Robert,,
SISCA001,Andy Sisco,Andy,Sisco,,Andrew Frank,,
SISCC001,Chance Sisco,Chance,Sisco,,Chance Thomas Leo,,
SISCS001,Steve Sisco,Steve,Sisco,,Steven Michael,,
SISKD001,Doug Sisk,Doug,Sisk,,Douglas Randall,,
SISKT101,Tommie Sisk,Tommie,Sisk,,Tommie Wayne,,
SIWYJ001,Jim Siwy,Jim,Siwy,,James Gerard,,
SIZEG001,Grady Sizemore,Grady,Sizemore,,Grady,,
SIZES001,Scott Sizemore,Scott,Sizemore,,Scott Daniel,,
SIZET101,Ted Sizemore,Ted,Sizemore,,Theodore Crawford,,
SKAGD101,Dave Skaggs,Dave,Skaggs,,David Lindsey,,
SKAGT001,Tyler Skaggs,Tyler,Skaggs,,Tyler Wayne,,
SKALJ001,Joe Skalski,Joe,Skalski,,Joseph Douglas,,
SKIDR101,Roe Skidmore,Roe,Skidmore,,Robert Roe,,
SKINB101,Bob Skinner,Bob,Skinner,,Robert Ralph,,
SKINJ001,Joel Skinner,Joel,Skinner,,Joel Patrick,,
SKIPK001,Kyle Skipworth,Kyle,Skipworth,,Kyle Trent,,
SKOGE001,Eric Skoglund,Eric,Skoglund,,Eric L.,,
SKOKC101,Craig Skok,Craig,Skok,,Craig Richard,,
SKOLM001,Matt Skole,Matt,Skole,,Matthew Thomas,,
SKOWB101,Bill Skowron,Bill,Skowron,,William Joseph,Moose,
SKRMM001,Matt Skrmetta,Matt,Skrmetta,,Matthew Leland,,
SKUBB101,Bob Skube,Bob,Skube,,Robert Jacob,,
SLAGR101,Roger Slagle,Roger,Slagle,,Roger Lee,,
SLAMA001,Anthony Slama,Anthony,Slama,,Anthony Thomas,,
SLAND001,Dan Slania,Dan,Slania,,Daniel Alexander,,
SLATA001,Austin Slater,Austin,Slater,,Austin Thomas,,
SLATD001,Doug Slaten,Doug,Slaten,,Douglas,,
SLATJ001,Jim Slaton,Jim,Slaton,,James Michael,,
SLAUD001,Don Slaught,Don,Slaught,,Donald Martin,,
SLAUS101,Sterling Slaughter,Sterling,Slaughter,,Sterling Feore,,
SLAYB101,Bill Slayback,Bill,Slayback,,William Grover,,
SLEDT001,Terrmel Sledge,Terrmel,Sledge,,Terrmel,,
SLEGA001,Aaron Slegers,Aaron,Slegers,,Aaron Allan,,
SLOCB001,Brian Slocum,Brian,Slocum,,Brian John,,
SLOCH001,Heathcliff Slocumb,Heathcliff,Slocumb,,Heath,,
SLOCR101,Ron Slocum,Ron,Slocum,,Ronald Reece,,
SLOWK001,Kevin Slowey,Kevin,Slowey,,Kevin Michael,,
SLUSJ001,Joe Slusarski,Joe,Slusarski,,Joseph Andrew,,
SMAJC001,Craig Smajstrla,Craig,Smajstrla,,Craig Lee,,
SMALA001,Aaron Small,Aaron,Small,,Aaron James,,
SMALH101,Hank Small,Hank,Small,,George Henry,,
SMALM001,Mark Small,Mark,Small,,Mark Allan,,
SMALR001,Roy Smalley III,Roy,Smalley,III,Roy Frederick,,
SMARJ001,J. D. Smart,J. D.,Smart,,Jon David,,
SMILJ001,John Smiley,John,Smiley,,John Patrick,,
SMITA102,Al Smith,Al,Smith,,Alphonse Eugene,Fuzzy,
SMITB001,Bryn Smith,Bryn,Smith,,Bryn Nelson,,
SMITB002,Brick Smith,Brick,Smith,,Brick Dudley,,
SMITB003,Brian Smith,Brian,Smith,,Randall Brian,,
SMITB004,Bud Smith,Bud,Smith,,Robert Allan,,
SMITB005,Burch Smith,Burch,Smith,,Burch Taylor,,
SMITB006,Blake Smith,Blake,Smith,,Blake Matthew,,
SMITB101,Billy Smith,Billy,Smith,,Billy Edward,,
SMITB102,Billy Smith,Billy,Smith,,Billy Lavern,,
SMITB104,Bobby Smith,Bobby,Smith,,Bobby Gene,,
SMITB105,Bernie Smith,Bernie,Smith,,Calvin Bernard,,
SMITC001,Chuck Smith,Chuck,Smith,,Charles Edward,,
SMITC002,Chris Smith,Chris,Smith,,Christopher Michael,,
SMITC003,Chad Smith,Chad,Smith,,Chad Dennis,,
SMITC004,Carson Smith,Carson,Smith,,Carson Donald,,
SMITC005,Chris Smith,Chris,Smith,,Christopher Patrick,,
SMITC006,Caleb Smith,Caleb,Smith,,Caleb Anthony,,
SMITC101,Chris Smith,Chris,Smith,,Christopher William,Chip,
SMITC105,Charley Smith,Charley,Smith,,Charles William,,
SMITD001,Dave Smith,Dave,Smith,,David Stanley,,
SMITD002,Dave Smith,Dave,Smith,,David Wayne,,
SMITD003,Dwight Smith,Dwight,Smith,,John Dwight,,
SMITD004,Dar Smith,Dar,Smith,,Daryl Clinton,,
SMITD005,Dan Smith,Dan,Smith,,Daniel Scott,,
SMITD006,Dan Smith,Dan,Smith,,Daniel Charles,,
SMITD007,Dwight Smith Jr.,Dwight,Smith,Jr.,John Dwight,,
SMITD008,Dominic Smith,Dominic,Smith,,Dominic David Rene,,
SMITD009,Drew Smith,Drew,Smith,,Andrew David,,
SMITD102,Dick Smith,Dick,Smith,,Richard Kelly,,
SMITD104,Dick Smith,Dick,Smith,,Richard Arthur,,
SMITG001,Greg Smith,Greg,Smith,,Gregory Alan,,
SMITG002,Greg Smith,Greg,Smith,,Gregory Thomas,,
SMITG101,George Smith,George,Smith,,George Cornelius,,
SMITH106,Hal Smith,Hal,Smith,,Harold Wayne,,
SMITH108,Hal Smith,Hal,Smith,,Harold Raymond,Cura; Barling Darling,
